ID,Request_Number,Sender,Sender_Location,Request,Language_Request,Recipient,Recipient_Location,Request_reason
145,NA,Child,"Jennings, LA",Too Late to Worry Too Blue to Cry,English,Parent,Unspecified,Unspecified
146,NA,Friend,"Kinder, LA",Take Me Back and Try Me One More Time,English,Friend,Unspecified,Love
147,NA,Relative,"Jennings, LA",Any Song,French,Relative,"Jennings, LA",Unspecified
148,NA,Spouse,"Elton, LA",God Bless My Darling He's Somewhere,English,Spouse,Stationed,War
149,NA,Unspecified,"Hackberry, LA",God Bless My Darling He's Somewhere,English,Unspecified,Stationed,War
150,NA,Unspecified,"Gueydan, LA",Any Song,French,Unspecified,Unspecified,Unspecified
151,NA,Friend,"Lake Charles, LA",They Took the Stars Out of Heaven,English,Friend,"San Antonio, TX",War
152,NA,Spouse,"Lake Arthur, LA",Soldier's Last Letter,English,Spouse,Stationed,Special Occasion
153,NA,Sibling,"Lake Arthur, LA",Take Me Back and Try Me One More Time,English,Sibling,Stationed,Special Occasion
154,NA,Friend,"Kaplan, LA",I Walk Alone,English,Friend,"Kaplan, LA",Unspecified
155,NA,Unspecified,"Lake Charles, LA",Take Me Back and Try Me One More Time,English,Unspecified,"Camp Howze, TX",War
156,NA,Unspecified,"Welsh, LA",Take Me Back and Try Me One More Time,English,Unspecified ,Unspecified,Regular Listener
157,NA,Sibling,"Grand Chenier, LA",Born to Lose,English,Sibling,Stationed,War
158,NA,Unspecified,"Church Point, LA",I Know What It Means to be Lonely,English,Unspecified,Stationed,War
159,6,Parent,"Hayes, LA",God Bless My Darling He's Somewhere,English,Child,Unspecified,Unspecified
160,6,Friend,"Welsh, LA",Is It Wrong to Love You,English,Friend,Stationed,War
161,NA,Unspecified,"Lake Charles, LA",Soldier's Last Letter,English,Unspecified,Unspecified,Unspecified
162,6,Unspecified,"Creole, LA",Our Baby's Book,English,Unspecified,Unspecified,Unspecified
163,4,Unspecified,"Cameron, LA",Our Baby's Book,English,Unspecified,Unspecified,Unspecified
164,NA,Unspecified,"Grand Chenier, LA",Pistol Packing Mama,English,Unspecified,Unspecified,Unspecified
165,NA,Friend,"Lake Charles, LA",I Walk Alone,English,Friend,Unspecified,Love
166,NA,Parent,"Port Arthur, TX",Have I Stayed Away Too Long,English,Child,"Lake Charles, LA",Unspecified
167,4,Unspecified,"Jennings, LA",Don't Sweetheart Me,English,Unspecified,Unspecified,Unspecified
168,3,Unspecified,"Kinder, LA",Don't Sweetheart Me,English,Unspecified,"Elton, LA",Unspecified
169,5,Unspecified,"Hackberry, LA",Don't Sweetheart Me,English,Unspecified,"Orange, TX",Unspecified
170,6,Friend,"Cameron, LA",Don't Sweetheart Me,English,Friend,"Cameron, LA",Unspecified
171,NA,Friend,"Hackberry, LA",That's When It's Coming Home To You,English,Friend,"Hackberry, LA",Unspecified
172,1,Friend,"Hayes, LA",Put Your Arms Around Me Honey,English,Friend,Unspecified,Unspecified
173,NA,Unspecified,"Sulphur, LA",Soldier's Last Letter,English,Unspecified,"Sulphur, LA",Unspecified
174,4,Unspecified,"Welsh, LA",One Dozen Roses,English,Unspecified,Unspecified,Regular Listener
175,NA,Unspecified,"Lake Charles, LA",I Walk Alone,English,Unspecified,Stationed,War
176,NA,Multiple,"Jennings, LA",Jolie Blonde,French,Multiple,Stationed,War
